temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
0.015,-512.0,0.0,1.0,0.0
0.03,-512.0,0.0,1.0,0.0
0.045,-512.0,0.0,1.0,0.0
0.06,-512.0,0.0,1.0,0.0
0.075,-512.0,0.0,1.0,0.0
0.09,-512.0,0.0,1.0,0.0
0.105,-512.0,0.0,1.0,0.0
0.12,-512.0,0.0,1.0,0.0
0.135,-512.0,0.0,1.0,0.0
0.15,-512.0,0.0,1.0,0.0
0.16499999999999998,-512.0,0.0,1.0,0.0
0.18,-512.0,0.0,1.0,0.0
0.195,-512.0,0.0,1.0,0.0
0.21,-512.0,0.0,1.0,0.0
0.22499999999999998,-512.0,0.0,1.0,0.0
0.24,-512.0,0.0,1.0,0.0
0.255,-512.0,0.0,1.0,0.0
0.27,-512.0,0.0,1.0,0.0
0.285,-512.0,0.0,1.0,0.0
0.3,-512.0,0.0,1.0,0.0
0.315,-512.0,0.0,1.0,0.0
0.32999999999999996,-512.0,0.0,1.0,0.0
0.345,-512.0,0.0,1.0,0.0
0.36,-512.0,0.0,1.0,0.0
0.375,-512.0,0.0,1.0,0.0
0.39,-512.0,0.0,1.0,0.0
0.40499999999999997,-512.0,0.0,1.0,0.0
0.42,-512.0,0.0,1.0,0.0
0.435,-512.0,0.0,1.0,0.0
0.44999999999999996,-512.0,0.0,1.0,0.0
0.46499999999999997,-512.0,0.0,1.0,0.0
0.48,-512.0,0.0,1.0,0.0
0.495,-512.0,0.0,1.0,0.0
0.51,-512.0,0.0,1.0,0.0
0.525,-511.9986666666667,0.00015114638408951676,0.9999986979166666,4.959490795608006e-06
0.54,-511.9992,8.572530890605763e-05,0.99999921875,2.893229175579445e-06
0.5549999999999999,-511.99893333333335,0.0001082018952225984,0.9999989583333333,3.753253317349313e-06
0.57,-511.99733333333336,0.0002564036794381108,0.9999973958333334,9.134381092448357e-06
0.585,-511.9984,0.00014607348960337833,0.9999984375,5.3408120364996976e-06
0.6,-511.9954666666667,0.0003932955242665533,0.9999955729166666,1.4748582183680508e-05
0.615,-511.9938666666667,0.0005063645239728923,0.9999940104166667,1.9463386401761587e-05
0.63,-511.9922666666667,0.0006082969398021402,0.9999924479166666,2.3951692072380013e-05
0.645,-511.9896,0.0007801874887556801,0.99998984375,3.145130815147952e-05
0.6599999999999999,-511.98853333333335,0.000821441051712342,0.9999888020833333,3.38844434154315e-05
0.6749999999999999,-511.988,0.0008583904894110998,0.99998828125,3.62133486878183e-05
0.69,-511.98,0.0013094675487070528,0.99998046875,5.6470788007098484e-05
0.705,-511.9789333333333,0.0013210597499515176,0.9999794270833333,5.8209195242317354e-05
0.72,-511.96866666666665,0.0018934830193211103,0.9999692708333333,8.646981098555291e-05
0.735,-511.9617333333333,0.0022145647904920495,0.9999625,0.00010296825399520804
0.75,-511.9488,0.002848462222068014,0.9999497395833333,0.00013594331020764608
0.765,-511.9464,0.0028928090336782916,0.9999473958333334,0.00014068618370669463
