temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
0.015,-200.0,0.0,1.0,0.0
0.03,-200.0,0.0,1.0,0.0
0.045,-200.0,0.0,1.0,0.0
0.06,-200.0,0.0,1.0,0.0
0.075,-200.0,0.0,1.0,0.0
0.09,-200.0,0.0,1.0,0.0
0.105,-200.0,0.0,1.0,0.0
0.12,-200.0,0.0,1.0,0.0
0.135,-200.0,0.0,1.0,0.0
0.15,-200.0,0.0,1.0,0.0
0.16499999999999998,-200.0,0.0,1.0,0.0
0.18,-200.0,0.0,1.0,0.0
0.195,-200.0,0.0,1.0,0.0
0.21,-200.0,0.0,1.0,0.0
0.22499999999999998,-200.0,0.0,1.0,0.0
0.24,-200.0,0.0,1.0,0.0
0.255,-200.0,0.0,1.0,0.0
0.27,-200.0,0.0,1.0,0.0
0.285,-200.0,0.0,1.0,0.0
0.3,-200.0,0.0,1.0,0.0
0.315,-200.0,0.0,1.0,0.0
0.32999999999999996,-200.0,0.0,1.0,0.0
0.345,-200.0,0.0,1.0,0.0
0.36,-200.0,0.0,1.0,0.0
0.375,-200.0,0.0,1.0,0.0
0.39,-200.0,0.0,1.0,0.0
0.40499999999999997,-200.0,0.0,1.0,0.0
0.42,-200.0,0.0,1.0,0.0
0.435,-200.0,0.0,1.0,0.0
0.44999999999999996,-200.0,0.0,1.0,0.0
0.46499999999999997,-200.0,0.0,1.0,0.0
0.48,-200.0,0.0,1.0,0.0
0.495,-200.0,0.0,1.0,0.0
0.51,-200.0,0.0,1.0,0.0
0.525,-200.0,0.0,1.0,0.0
0.54,-200.0,0.0,1.0,0.0
0.5549999999999999,-199.99946666666668,0.00013850766064064146,0.9999986666666666,4.804484497932159e-06
0.57,-200.0,0.0,1.0,0.0
0.585,-199.9984,0.00037394813338464846,0.9999959999999999,1.3672478666806284e-05
0.6,-199.9992,0.0001777599999412713,0.9999979999999999,6.6660000112387756e-06
0.615,-199.9992,0.0001691945270113231,0.9999979999999999,6.503414645110999e-06
0.63,-199.9968,0.0006447407407408054,0.9999919999999998,2.5386666737046782e-05
0.645,-199.996,0.0007687999517775789,0.9999899999999998,3.099224811326263e-05
0.6599999999999999,-199.99653333333333,0.0006363938372261281,0.9999913333333331,2.6251245840402614e-05
0.6749999999999999,-199.99173333333334,0.0014499861849867966,0.999979333333333,6.117129226202712e-05
0.69,-199.99266666666668,0.001264710961686022,0.999981333333333,5.792051540480856e-05
0.705,-199.98986666666667,0.0016289720280773033,0.9999746666666661,7.177658012470413e-05
0.72,-199.98986666666667,0.001561805212683491,0.9999746666666662,7.028123467459994e-05
0.735,-199.98666666666668,0.0019711951294282834,0.9999666666666661,9.055177640217795e-05
0.75,-199.97906666666665,0.002997839328470743,0.9999473333333323,0.0001436301632296022
0.765,-199.97266666666667,0.0037510283320333054,0.9999313333333321,0.00018239018186828364
0.78,-199.97106666666667,0.00386965037622705,0.9999266666666654,0.00019760113990943185
0.7949999999999999,-199.96946666666668,0.0038753907237124062,0.9999233333333318,0.00019548707232988716
0.8099999999999999,-199.95693333333332,0.005344895527533548,0.9998906666666646,0.0002849439785221513
0.825,-199.9528,0.005562125399445345,0.9998813333333311,0.0002924345325086816
0.84,-199.9372,0.007238135298633133,0.9998413333333304,0.000393828360465526
0.855,-199.9328,0.007481971569628435,0.9998293333333304,0.0004238837693064825
0.87,-199.9124,0.009333591932079386,0.999779999999996,0.0005155095793918757
0.885,-199.90773333333334,0.009601585694385892,0.999767333333329,0.0005468022105913143
0.8999999999999999,-199.8772,0.012317532839567581,0.9996893333333275,0.0007211280999995672
0.9149999999999999,-199.87293333333332,0.012171806410710091,0.9996793333333275,0.0007188167103438968
0.9299999999999999,-199.84693333333334,0.014528507290515615,0.9996119999999927,0.0008841708975484826
0.945,-199.83533333333332,0.015050921182420665,0.9995839999999926,0.000924191606395096
0.96,-199.79333333333332,0.01837914737655587,0.9994766666666571,0.0011506377333922457
0.975,-199.77186666666665,0.019475837989742725,0.9994159999999893,0.001283310497834068
0.99,-199.7348,0.022077362445931194,0.9993246666666541,0.001452921708354412
1.005,-199.69866666666667,0.024964380969647683,0.9992306666666528,0.0016870440711854193
1.02,-199.65506666666667,0.027424910248237688,0.9991186666666502,0.001884632508604243
1.035,-199.6068,0.030226395886372433,0.9989959999999816,0.0020977762353622384
1.05,-199.5768,0.03217991014361506,0.9989119999999804,0.0023355164480788814
1.065,-199.52173333333334,0.03490954318781858,0.9987746666666447,0.0025432136085967727
1.08,-199.4508,0.03943055006868549,0.998588666666641,0.0029427288523751777
1.095,-199.42146666666667,0.039807614649818454,0.9985106666666403,0.0030120444085325127
1.1099999999999999,-199.3628,0.04323331028325631,0.9983533333333042,0.0033905545597049764
1.125,-199.284,0.048127030781930154,0.9981519999999682,0.003785324094470373
1.14,-199.2208,0.05144388550327434,0.9979773333332977,0.004204867218694372
1.155,-199.12106666666668,0.05553726151220972,0.9977233333332933,0.004562492551420687
1.17,-199.03906666666666,0.05877473734795102,0.9975046666666226,0.004970938317221321
1.185,-198.948,0.06381097046413284,0.9972626666666194,0.005481885202604708
1.2,-198.8872,0.06572645481476987,0.9970919999999499,0.005788628008466616
1.2149999999999999,-198.7352,0.07286523142927523,0.9966953333332763,0.0065096717426096325
1.23,-198.6668,0.07617452856548242,0.9965079999999394,0.006893707543977925
1.2449999999999999,-198.53506666666667,0.08102129747727607,0.9961626666665999,0.007412707338168886
1.26,-198.36133333333333,0.08787837966461026,0.9956893333332593,0.00839191690810765
1.275,-198.27173333333334,0.09112573725316224,0.9954366666665885,0.008967528553069752
1.29,-198.11746666666667,0.09737276354917461,0.9950273333332489,0.009534309023103076
1.305,-197.96053333333333,0.10369338314013093,0.9945853333332437,0.010631012904995704
1.3199999999999998,-197.82173333333333,0.10880445168863424,0.9942166666665717,0.011190383011978342
1.335,-197.65706666666668,0.11683221850337182,0.9937399999998988,0.012475335846268538
1.3499999999999999,-197.44973333333334,0.12160369416855953,0.9931779999998909,0.013241011078756481
1.365,-197.34773333333334,0.1259415701031866,0.992902666666551,0.013825728434835925
1.38,-197.07506666666666,0.13593764437910158,0.9921506666665425,0.015365311581215613
1.395,-196.8532,0.1440258120699425,0.9915073333332032,0.016768072628372592
1.41,-196.6392,0.1505059605988955,0.9908979999998608,0.018091271605267654
1.425,-196.47386666666668,0.15415935347763385,0.9904219999998541,0.018934871320193072
1.44,-196.08973333333333,0.16729913160155002,0.989353333333175,0.02078392286321747
1.4549999999999998,-195.98306666666667,0.17139640106071588,0.9890313333331735,0.02208259005055578
1.47,-195.65613333333334,0.18089078184498905,0.988088666666494,0.0236535241674735
1.4849999999999999,-195.43893333333332,0.1869251627183495,0.9874339999998236,0.02502013317963828
1.5,-195.1012,0.196281593599997,0.9864793333331436,0.027063438219965267
1.515,-194.8044,0.20737955526511434,0.985597999999802,0.028978376002215433
1.53,-194.41146666666666,0.21728521159479586,0.9844533333331269,0.03126499930335319
1.545,-194.192,0.22341870180106496,0.9837899999997856,0.032999087409337526
1.56,-193.8376,0.22968781328071158,0.9827393333331107,0.03440872137072528
1.575,-193.44973333333334,0.24448948656977293,0.9815899999997701,0.03818953865670278
1.5899999999999999,-193.10546666666667,0.25315801108430014,0.9804853333330944,0.04101998650445947
1.605,-192.70773333333332,0.2609101756733502,0.979299333333085,0.04284791693290835
1.6199999999999999,-192.33186666666666,0.2772758135785638,0.9780659999997492,0.04742261180363997
1.635,-191.83653333333334,0.2910839104410811,0.9765226666664044,0.051148714789142596
1.65,-191.48746666666668,0.2998801698765284,0.9753886666664058,0.05456660235154743
1.665,-191.07973333333334,0.3034252604396208,0.9741326666663935,0.05647173574517804
1.68,-190.5056,0.325628668178386,0.9722766666663858,0.06365020572470555
