temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
0.015,-1152.0,0.0,1.0,0.0
0.03,-1152.0,0.0,1.0,0.0
0.045,-1152.0,0.0,1.0,0.0
0.06,-1152.0,0.0,1.0,0.0
0.075,-1152.0,0.0,1.0,0.0
0.09,-1152.0,0.0,1.0,0.0
0.105,-1152.0,0.0,1.0,0.0
0.12,-1152.0,0.0,1.0,0.0
0.135,-1152.0,0.0,1.0,0.0
0.15,-1152.0,0.0,1.0,0.0
0.16499999999999998,-1152.0,0.0,1.0,0.0
0.18,-1152.0,0.0,1.0,0.0
0.195,-1152.0,0.0,1.0,0.0
0.21,-1152.0,0.0,1.0,0.0
0.22499999999999998,-1152.0,0.0,1.0,0.0
0.24,-1152.0,0.0,1.0,0.0
0.255,-1152.0,0.0,1.0,0.0
0.27,-1152.0,0.0,1.0,0.0
0.285,-1152.0,0.0,1.0,0.0
0.3,-1152.0,0.0,1.0,0.0
0.315,-1152.0,0.0,1.0,0.0
0.32999999999999996,-1152.0,0.0,1.0,0.0
0.345,-1152.0,0.0,1.0,0.0
0.36,-1152.0,0.0,1.0,0.0
0.375,-1152.0,0.0,1.0,0.0
0.39,-1152.0,0.0,1.0,0.0
0.40499999999999997,-1152.0,0.0,1.0,0.0
0.42,-1152.0,0.0,1.0,0.0
0.435,-1152.0,0.0,1.0,0.0
0.44999999999999996,-1152.0,0.0,1.0,0.0
0.46499999999999997,-1152.0,0.0,1.0,0.0
0.48,-1151.9997333333333,1.6074566204864555e-05,0.9999998842592592,4.822370502921558e-07
0.495,-1151.9997333333333,1.5115110921745916e-05,0.9999998842592592,4.676238063439087e-07
0.51,-1151.9994666666666,2.8477176213311953e-05,0.9999997685185185,9.07709985607225e-07
0.525,-1151.9989333333333,5.3742728551578e-05,0.999999537037037,1.7634331633027093e-06
0.54,-1151.9970666666666,0.00013966324706536667,0.9999987268518516,4.7136346381648755e-06
0.5549999999999999,-1151.9978666666666,9.616663801085219e-05,0.999999074074074,3.335780372647089e-06
0.57,-1151.9948,0.00023069577054485443,0.9999976851851851,8.928958176343976e-06
0.585,-1151.9949333333334,0.00020549580501172886,0.9999978009259257,7.513440673042519e-06
0.6,-1151.9954666666667,0.0001747980099430101,0.9999980324074071,6.554925562340941e-06
0.615,-1151.9901333333332,0.0003618693247171625,0.9999957175925921,1.390935257704103e-05
0.63,-1151.9874666666667,0.00043789709689502756,0.9999945601851848,1.7242198323076862e-05
0.645,-1151.9834666666666,0.0005508204129405875,0.9999928240740733,2.2204948354450352e-05
0.6599999999999999,-1151.9754666666668,0.0007798342566968377,0.9999893518518509,3.216816359952191e-05
0.6749999999999999,-1151.962,0.0011914697967369196,0.9999834490740726,5.086363842110586e-05
0.69,-1151.962,0.0011091128148681747,0.9999834490740724,4.841598528470138e-05
0.705,-1151.9433333333334,0.001577868254124225,0.9999753472222198,7.009709229520169e-05
0.72,-1151.9253333333334,0.0020282254988331196,0.999967476851849,9.271089602691518e-05
0.735,-1151.9104,0.0023017624684544572,0.9999609953703664,0.0001068324426474108
0.75,-1151.8924,0.00271159127558708,0.9999530092592546,0.0001297856397286523
0.765,-1151.8666666666666,0.0031559034227336214,0.9999418981481424,0.0001529895532612232
